Project,AbstractClassWithoutAnyMethod,AvoidCatchingGenericException,AvoidDeeplyNestedIfStmts,AvoidRethrowingException,AvoidThrowingNewInstanceOfSameException,AvoidThrowingNullPointerException,AvoidThrowingRawExceptionTypes,AvoidUncheckedExceptionsInSignatures,ClassWithOnlyPrivateConstructorsShouldBeFinal,CognitiveComplexity,CollapsibleIfStatements,CouplingBetweenObjects,CyclomaticComplexity,DataClass,DoNotExtendJavaLangError,ExceptionAsFlowControl,ExcessiveClassLength,ExcessiveImports,ExcessiveMethodLength,ExcessiveParameterList,ExcessivePublicCount,FinalFieldCouldBeStatic,GodClass,ImmutableField,LawOfDemeter,LogicInversion,MutableStaticState,NPathComplexity,NcssCount,SignatureDeclareThrowsException,SimplifiedTernary,SimplifyBooleanExpressions,SimplifyBooleanReturns,SimplifyConditional,SingularField,SwitchDensity,TooManyFields,TooManyMethods,UseObjectForClearerAPI,UseUtilityClass,UselessOverridingMethod
CompreFace,1,0,0,0,0,0,0,1,0,0,0,0,2309,0,0,0,0,17,3,0,0,0,0,15,2,0,6,9,1,0,0,0,2,44,0,0,0,3,0,0,0
andOTP,5,0,0,0,1,0,1,21,4,8,0,11,589,0,0,0,0,7,41,5,0,2,8,8,23,0,16,6,0,4,0,5,1,3,0,0,0,0,0,0,1
resilience4j,4,0,3,0,50,2,0,8,1,2,0,2,15645,2,0,0,1,4,130,47,0,7,3,85,7,0,12,59,0,2,0,3,10,125,4,0,1,0,0,0,16
PictureSelector,52,0,6,0,9,0,7,137,13,30,1,59,1558,0,0,0,0,15,121,6,0,8,25,26,138,1,34,34,3,29,0,15,16,8,0,1,24,1,1,25,2
grpc-java,23,7,31,3,10,3,3,108,23,72,20,54,26430,3,2,0,10,158,208,192,1,40,50,226,149,7,39,176,11,53,0,59,17,1193,8,5,7,23,0,6,7
arthas,34,2,2,0,19,0,0,109,19,11,0,47,2306,1,1,0,2,26,36,19,1,7,26,43,122,5,63,187,32,13,5,6,3,17,1,4,27,1,4,7,77
SpringCloud,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,1,1,0,0,0,0,1,0,0,11,15,0,0,0,0,0,7,0,0,0,0,0,0,0
clojure,7,2,13,1,9,1,1,117,74,43,97,54,1846,0,1,0,2,0,23,6,2,13,31,64,197,0,16,3,1,32,0,6,0,5,2,1,2,0,2,2,3
iceberg,6,2,16,0,255,0,9,101,49,26,17,26,55621,2,4,0,13,321,103,162,0,24,73,478,323,0,1,129,1,54,0,12,24,142,4,2,5,5,1,0,25
JsonPath,1,2,1,0,7,0,0,17,2,1,0,6,2590,0,0,0,0,1,30,0,3,3,7,36,26,0,9,19,1,4,1,0,0,77,1,1,3,5,2,0,2
JFoenix,17,0,2,0,0,0,0,54,1,17,1,21,2117,0,6,0,1,9,27,10,1,1,9,18,23,0,4,342,0,9,0,8,5,11,0,2,5,2,1,0,8
zeppelin,24,18,16,0,17,0,4,288,91,59,8,201,21318,1,0,2,5,87,470,184,0,27,167,229,381,36,64,661,33,68,55,14,78,255,15,7,27,9,1,6,44
lottie-android,0,1,3,0,35,0,1,35,8,6,7,23,486,0,0,0,0,6,7,0,0,3,12,17,63,0,7,0,0,13,0,8,0,0,2,0,0,0,0,2,17
apollo,3,1,1,4,4,0,0,22,15,3,7,5,5522,1,0,0,3,31,31,21,0,5,7,56,27,162,50,169,2,5,0,6,13,53,2,2,2,8,0,0,97
opentelemetry-java-instrumentation,19,2,1,1,60,0,0,29,10,13,0,11,7240,0,0,1,1,11,45,11,0,5,10,78,38,7,492,1,0,2,1,3,0,69,0,0,10,2,1,1,14
calcite,99,45,73,9,146,0,16,487,3,199,50,242,37318,6,0,0,34,200,158,250,20,60,169,343,766,7,16,101,2,149,0,21,18,114,9,3,38,206,0,6,18
