Project,Abstract Function Call From Constructor,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclic-Dependent Modularization,Deep Hierarchy,Deficient Encapsulation,Empty catch clause,Hub-like Modularization,Imperative Abstraction,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Hierarchy,Missing default,Multifaceted Abstraction,Multipath Hierarchy,Rebellious Hierarchy,Unexploited Encapsulation,Unnecessary Abstraction,Unutilized Abstraction,Wide Hierarchy
disruptor,14,45,6,1,0,1,0,13,0,3,0,33,1,0,0,0,0,4,0,36,214,14,563,114,3,1,3
aeron,22,471,82,1,0,0,2,30,137,132,0,15,2,5,0,11,0,22,0,138,356,71,5460,2551,19,7,425
react-native-push-notification,0,1,4,0,0,0,0,0,4,3,0,0,0,0,0,1,0,3,0,3,6,2,3,33,0,0,7
RxAndroid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,34,1,0,0,0
airbyte,5,174,17,0,5,1,0,63,12,12,1,19,0,0,0,0,0,4,0,95,617,13,1073,3804,5,0,116
testcontainers-java,4,20,16,0,0,3,0,54,10,7,1,39,0,0,0,1,0,9,0,144,371,8,420,766,27,0,42
jadx,5,62,163,3,0,2,4,46,252,274,1,75,3,0,0,8,2,120,0,183,1078,64,2172,381,32,3,9
JsonPath,0,14,14,6,0,3,0,39,13,34,1,10,6,1,0,0,0,9,0,34,176,23,382,199,18,2,6
NewPipe,6,42,141,0,0,0,1,24,84,110,2,19,2,0,0,5,0,85,0,115,158,32,947,730,24,0,35
JFoenix,0,56,26,0,0,0,0,7,17,48,0,10,1,3,0,10,0,24,0,15,140,22,1561,377,6,1,0
serve,2,27,18,0,0,0,0,10,14,26,0,1,0,0,0,0,0,14,0,14,67,12,319,164,5,0,2
zuul,4,40,15,0,0,0,0,20,19,23,0,14,0,1,0,0,0,4,0,43,176,13,302,341,4,0,41
mybatis-plus,17,27,29,0,0,0,0,12,11,29,0,125,0,1,0,1,0,6,0,8,339,13,510,383,7,1,8
conductor,3,183,39,0,0,2,1,60,21,46,0,16,0,1,0,4,0,28,0,65,333,63,1356,1269,11,3,139
RePlugin,6,67,25,0,0,0,1,10,95,114,0,13,0,0,0,6,4,9,0,74,127,24,316,261,46,1,26
jedis,0,545,7,0,0,2,0,44,4,14,0,1,0,0,0,0,0,3,0,13,150,46,2045,296,70,1,1
opentelemetry-java-instrumentation,0,321,55,0,6,0,0,39,36,36,0,48,0,1,3,0,1,37,0,132,1699,28,618,1635,43,5,140
spark,0,28,15,0,0,0,0,3,11,11,4,12,1,2,0,2,0,4,0,26,85,11,355,78,7,0,3
JCSprout,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,7,77,0,302,13,22,0,0
